# u_lambda  v_lambda  Re(V)[Jy]  Im(V)[Jy]  weight
5.392820858506489458e+03 2.228924012318943642e+04 1.652739033453955522e-02 -7.063447391125196942e-04 5.175923632812500000e+04
-1.076218709024771124e+04 6.851937792624245049e+03 1.934412318790953295e-02 -3.427280238300024133e-04 5.521409570312500000e+04
4.931270135731273513e+03 -2.858885333759416972e+04 1.569187932106515942e-02 9.293834526585674103e-04 5.392860742187500000e+04
2.672319961323876487e+04 1.701956699976692835e+04 1.615776484905184079e-02 -3.921903879146673450e-04 5.583968750000000000e+04
1.318230355822205456e+04 -2.289369833291830946e+04 1.651116480326273589e-02 8.391939103988164603e-04 4.913620703125000000e+04
2.615035605132955538e+02 -1.231351507183330978e+04 1.866461169106531370e-02 4.628336183897025684e-04 5.556597851562500000e+04
1.691570999638490321e+04 -3.439069424512911064e+04 1.495318170738267963e-02 1.126884967665775505e-03 5.847656250000000000e+04
2.105735142125658604e+04 1.434935829271053626e+04 1.696608766881118127e-02 -3.564138159949796253e-04 5.307257031250000000e+04
7.319450093363480846e+03 5.495585438155884503e+02 1.994030872438679047e-02 3.190832559112766746e-05 5.503278906250000000e+04
-6.047681623332247000e+03 -2.012411133088999122e+04 1.689447610149644868e-02 6.444600771887650566e-04 5.142384179687500000e+04
2.678239422465947064e+04 3.240124078992383147e+04 1.460330185498339914e-02 -8.053861192204857548e-04 4.175150390625000000e+04
1.789208915951348536e+04 -2.536632382058515577e+04 1.602058567032493830e-02 9.218799676293559960e-04 5.456412304687500000e+04
-1.045231101168634041e+03 2.076794197160231488e+04 1.695296452677468382e-02 -7.130838309929029509e-04 5.575554492187500000e+04
2.681170760962684653e+04 1.227226903883116029e+04 1.674051805704786927e-02 -2.463382369814347728e-04 5.439340820312500000e+04
5.907763601095157355e+03 -1.024080145386030381e+04 1.905270889933560752e-02 4.329508368743046438e-04 5.396904101562500000e+04
3.190666536733659450e+04 -1.012802787012290719e+04 1.698740761846180211e-02 5.453586166049094030e-04 5.581109765625000000e+04
1.883759804160215572e+04 -1.838043272789408365e+04 1.705478870397033470e-02 7.477919841798346713e-04 5.916715820312500000e+04
-3.406991216225286917e+04 -3.774064914367690653e+04 1.411042335123149916e-02 8.917380008080725683e-04 5.474747265625000000e+04
1.003298081742936847e+04 -3.777458751424715047e+03 1.967429683711670665e-02 2.219399119043152335e-04 5.018381054687500000e+04
-9.355293092484009321e+03 -4.680914154010784500e+02 1.979708597591037580e-02 -4.979418179012282261e-05 5.494294726562500000e+04
2.088761706926193801e+04 1.921906397703528637e+04 1.626348553528672233e-02 -5.016206905399608635e-04 5.536204882812500000e+04
-1.526210503878174677e+04 4.288038453043436675e+03 1.918366445538668974e-02 -2.730950622250674382e-04 4.910951367187500000e+04
2.426918773964118736e+04 -1.311383064148060475e+04 1.743694927489005883e-02 6.151019179951285401e-04 5.656733203125000000e+04
-2.563156921166390930e+03 1.267874519823946503e+04 1.861392475335580526e-02 -4.910484474407810461e-04 5.219074609375000000e+04
1.261445312098625209e+03 -1.897568547055015733e+04 1.730501735990061518e-02 6.669714353605215402e-04 5.533376757812500000e+04
1.584061006499059840e+04 -4.437762867589309280e+03 1.911643717175501994e-02 2.819634789852278208e-04 5.766320312500000000e+04
1.126338580643691785e+04 1.184402701462758159e+04 1.819615543146137909e-02 -3.566114564103416542e-04 4.912515820312500000e+04
2.890492065125843510e+04 1.800838329284763631e+03 1.749190840244878309e-02 1.234967443735649146e-04 5.367921875000000000e+04
3.617408909905574546e+03 1.275227334003462602e+04 1.846451322789831317e-02 -4.476704400413373001e-04 5.221474023437500000e+04
-1.241208103763199870e+04 1.640397732003172496e+04 1.768646884402781325e-02 -6.632368485299133158e-04 5.578448242187500000e+04
1.475511011997026799e+04 3.836913906168999529e+04 1.441578895384620571e-02 -1.032558249924320432e-03 5.304778515625000000e+04
-7.760054844120888447e+03 1.385123918864110055e+04 1.832290498984279550e-02 -5.616783020316916744e-04 5.546295703125000000e+04
-3.801661643558019568e+04 4.080570777276312583e+04 1.418857323815944996e-02 -1.364514161205169704e-03 5.133639062500000000e+04
2.529826977942062513e+04 -2.555435890653762726e+03 1.805484018403714225e-02 2.611882492755412694e-04 5.277849609375000000e+04
3.647040047914627394e+03 7.051417787392623723e+03 1.951738026520341562e-02 -2.497519635568224805e-04 5.210145703125000000e+04
-5.460713741367989314e+03 -1.142129782297178463e+04 1.864891970525504525e-02 3.896367772605256437e-04 4.911475390625000000e+04
-2.373097930452077890e+03 -6.631923861805250453e+03 1.962769113697252973e-02 2.438808290347906083e-04 5.583282421875000000e+04
2.792292545179324588e+04 -6.850032337740988623e+03 1.761574905461452817e-02 4.236976961478007607e-04 5.820885156250000000e+04
-7.682641775189650616e+03 -7.110208483391870686e+03 1.928329018273195611e-02 2.202948653084300002e-04 5.589593164062500000e+04
4.747609095031442848e+04 -2.463080331252505857e+04 1.489444537993953564e-02 9.983387608037011616e-04 5.334634765625000000e+04
2.221150600539984589e+04 -8.650643771736642520e+03 1.812006121623445723e-02 4.630713021276182915e-04 5.690001757812500000e+04
6.508554040106962475e+02 4.393493828647824557e+04 1.418463927248596497e-02 -1.249690741136450520e-03 4.912777343750000000e+04
1.335591241777137293e+04 1.676391286926759494e+04 1.714354841981637068e-02 -4.919890457124235063e-04 4.994435937500000000e+04
3.558926274439541157e+04 8.771033543713938343e+03 1.627061783272194806e-02 -7.242588936384842060e-05 5.548909179687500000e+04
-1.615332390841174856e+04 -1.543720219621784236e+04 1.718110767198483338e-02 4.295602126475051821e-04 6.003942773437500000e+04
-4.632811329293498375e+02 -5.087826429056213965e+04 1.382491274712195628e-02 1.413228367571748743e-03 5.858819921875000000e+04
2.133070582091861070e+04 -5.271415989678594997e+03 1.846512665485108839e-02 3.406768641212070325e-04 6.071528320312500000e+04
7.787078615852225994e+03 -4.518327008090736490e+04 1.413625757273190287e-02 1.325516266804018439e-03 5.339723242187500000e+04
-5.135164508259485956e+03 -3.460145168800924876e+04 1.487766079460446124e-02 1.005771677907358209e-03 6.032348632812500000e+04
1.152072224669558818e+04 -5.668088682113395771e+04 1.361886309217718791e-02 1.613582390770193454e-03 6.354421875000000000e+04
1.566530499756768768e+04 -7.941443492867410896e+03 1.883282858774058474e-02 4.089422279651960660e-04 5.759372070312500000e+04
1.926021495277558415e+03 -2.173994918033724389e+04 1.678177058457452561e-02 7.441265967437313712e-04 5.975527734375000000e+04
-1.144197064771475743e+04 -4.241273455173560069e+04 1.419163130727496384e-02 1.149725297530271133e-03 5.590372070312500000e+04
2.139091969198113293e+04 1.011012425132095632e+04 1.755451368740122697e-02 -2.173193216330471787e-04 4.524280078125000000e+04
1.249776950569720611e+04 -4.765669911552967096e+04 1.399942316357945249e-02 1.407365615066882023e-03 5.918751953125000000e+04
-6.439325830358114217e+03 -1.520329284511645255e+03 1.995682385863601499e-02 1.340530224203636872e-05 6.054706250000000000e+04
