# u_lambda  v_lambda  Re(V)[Jy]  Im(V)[Jy]  weight
5.392820858506489458e+03 2.228924012318943642e+04 1.672648295170520855e-02 -7.334565801640943435e-04 5.175923632812500000e+04
-1.076218709024771124e+04 6.851937792624245049e+03 1.920134106320372722e-02 -3.413654176919266687e-04 5.521409570312500000e+04
4.931270135731273513e+03 -2.858885333759416972e+04 1.608469988050503785e-02 9.713139735090565866e-04 5.392860742187500000e+04
2.672319961323876487e+04 1.701956699976692835e+04 1.605319072172347455e-02 -4.114687830453047160e-04 5.583968750000000000e+04
1.318230355822205456e+04 -2.289369833291830946e+04 1.678406258819695532e-02 8.651367671164927973e-04 4.913620703125000000e+04
2.615035605132955538e+02 -1.231351507183330978e+04 1.859943436043942286e-02 4.712689414807419474e-04 5.556597851562500000e+04
1.691570999638490321e+04 -3.439069424512911064e+04 1.534793911945063136e-02 1.174276198651031744e-03 5.847656250000000000e+04
2.105735142125658604e+04 1.434935829271053626e+04 1.677472582983016366e-02 -3.710529722472409651e-04 5.307257031250000000e+04
7.319450093363480846e+03 5.495585438155884503e+02 2.007988580553287175e-02 2.832309002133817879e-05 5.503278906250000000e+04
-6.047681623332247000e+03 -2.012411133088999122e+04 1.701448244357002190e-02 6.665701838034873055e-04 5.142384179687500000e+04
2.678239422465947064e+04 3.240124078992383147e+04 1.462830293490778588e-02 -8.367235905348928415e-04 4.175150390625000000e+04
1.789208915951348536e+04 -2.536632382058515577e+04 1.634485630194192768e-02 9.523585455465989353e-04 5.456412304687500000e+04
-1.045231101168634041e+03 2.076794197160231488e+04 1.714107080008480180e-02 -7.364038022175144801e-04 5.575554492187500000e+04
2.681170760962684653e+04 1.227226903883116029e+04 1.648154391915971836e-02 -2.614803312704468618e-04 5.439340820312500000e+04
5.907763601095157355e+03 -1.024080145386030381e+04 1.900451284703890201e-02 4.379528473440384381e-04 5.396904101562500000e+04
3.190666536733659450e+04 -1.012802787012290719e+04 1.670635758020557610e-02 5.317954321608733305e-04 5.581109765625000000e+04
1.883759804160215572e+04 -1.838043272789408365e+04 1.713587134677260065e-02 7.580357184292686604e-04 5.916715820312500000e+04
-3.406991216225286917e+04 -3.774064914367690653e+04 1.388248628974960742e-02 9.113871006599770378e-04 5.474747265625000000e+04
1.003298081742936847e+04 -3.777458751424715047e+03 1.959721997600502238e-02 2.199122568159516474e-04 5.018381054687500000e+04
-9.355293092484009321e+03 -4.680914154010784500e+02 1.973253618963404649e-02 -4.505312514956922595e-05 5.494294726562500000e+04
2.088761706926193801e+04 1.921906397703528637e+04 1.625171794995834695e-02 -5.227949755446323083e-04 5.536204882812500000e+04
-1.526210503878174677e+04 4.288038453043436675e+03 1.882172554534715381e-02 -2.650331382463104175e-04 4.910951367187500000e+04
2.426918773964118736e+04 -1.311383064148060475e+04 1.725884594012877526e-02 6.093959431282516999e-04 5.656733203125000000e+04
-2.563156921166390930e+03 1.267874519823946503e+04 1.856791773321048167e-02 -4.992051307356624914e-04 5.219074609375000000e+04
1.261445312098625209e+03 -1.897568547055015733e+04 1.742956140007262747e-02 6.859616930324171670e-04 5.533376757812500000e+04
1.584061006499059840e+04 -4.437762867589309280e+03 1.873652099174850580e-02 2.733430631479031952e-04 5.766320312500000000e+04
1.126338580643691785e+04 1.184402701462758159e+04 1.795033821353123754e-02 -3.657925807697243420e-04 4.912515820312500000e+04
2.890492065125843510e+04 1.800838329284763631e+03 1.699069059369969631e-02 1.075093657814008046e-04 5.367921875000000000e+04
3.617408909905574546e+03 1.275227334003462602e+04 1.835534093374894399e-02 -4.569092081410253288e-04 5.221474023437500000e+04
-1.241208103763199870e+04 1.640397732003172496e+04 1.771690385087010960e-02 -6.723096980811006868e-04 5.578448242187500000e+04
1.475511011997026799e+04 3.836913906168999529e+04 1.454166303538364374e-02 -1.071316015782305476e-03 5.304778515625000000e+04
-7.760054844120888447e+03 1.385123918864110055e+04 1.829198334353415029e-02 -5.687667555975172351e-04 5.546295703125000000e+04
-3.801661643558019568e+04 4.080570777276312583e+04 1.427060813833685646e-02 -1.386098369774009477e-03 5.133639062500000000e+04
2.529826977942062513e+04 -2.555435890653762726e+03 1.752747974202210207e-02 2.455295102979640140e-04 5.277849609375000000e+04
3.647040047914627394e+03 7.051417787392623723e+03 1.949327352599065227e-02 -2.571452019774939394e-04 5.210145703125000000e+04
-5.460713741367989314e+03 -1.142129782297178463e+04 1.848831690738564695e-02 3.979295691339143040e-04 4.911475390625000000e+04
-2.373097930452077890e+03 -6.631923861805250453e+03 1.968595779445812474e-02 2.514498786613208916e-04 5.583282421875000000e+04
2.792292545179324588e+04 -6.850032337740988623e+03 1.720128890461742124e-02 4.081030367029754493e-04 5.820885156250000000e+04
-7.682641775189650616e+03 -7.110208483391870686e+03 1.907858811659963322e-02 2.272827642441077058e-04 5.589593164062500000e+04
4.747609095031442848e+04 -2.463080331252505857e+04 1.489478305946054584e-02 9.986597051706894677e-04 5.334634765625000000e+04
